,Personas,,,,,,,,,,,,,
Original Question #,Application owner,GIS Business Owner,Spatial Developer,Non-GIS Business Owner,Non-Spatial Developer,Product Owner (widget branch),Project Manager (widget branch),Persona,Revised question,Type of question,Build or End user requirements,Are we capable of answering the question?,Comments,
8,,y,y,,,,,GIS Business Owner,Can I save work and return to it during another session?,Application Features,Save work and return to it at a later date,,,
12,,y,y,,,,,GIS Business Owner,Which geographic projection and datums are available for use with this application?,Application Features,,, ,
11,y,y,,y,,,y,GIS Business Owner,"Are there any PIA/STRA requirements needed for this solution, specific to the data or framework?",Approvals,,Answer is available,Not sure where it is available. Is the answer in our matrix? Could you please indicate it here?,
4,y,y,,y,,y,y,GIS Business Owner,Is there an annual cost or a shared cost between the various users of this application?,Budget,Build Cost/Development; License/Platform Cost; Data Modelling Costs; Hosting Costs; Simple customizations without the effort of a full development; Has zero or minimal licensing fees,Partially available,"we have some information around this, but no numbers at all. How would one know the order of magnitude?",
5,y,y,y,y,y,,y,GIS Business Owner,What is the average development time to implement this solution within an application.,Implementation,Self-serve/wizard option to build web mapping applications quickly with no coding/scripting experience; Self-serve/wizard option to build web mapping applications quickly with coding/scripting experience; A web mapping application that can be configured and deployed with internal resources; A web mapping application that can be configured and deployed with Consulting/contractor services; Simple customizations without the effort of a full development; Time to Market,Partially available,"We have some information that could hint at this, but no specifics",
3,y,y,y,y,y,y,y,GIS Business Owner,What capability does the application have to secure data or elements of the application based on IDIR/BCeID user and/or layer level security?,Operations,Supports the ability to secure the application or data within the application based on IDIR/BCeID user layer level security,Partially available,Does this requirement actually cover the question?,
7,y,y,y,y,y,y,,GIS Business Owner,What capacity does the application have to handle many users or a high volume of data? ,Operations,Can handle a lot of users and high data volume,Partially available,"We have the requirement that says ""a lot of users"", but this doesn't answer the question.",
10,,y,,,,,,GIS Business Owner,Can the application download its data to use in another application such as a CSV or GIS files?,Operations,Download the data being viewed; Consume and integrate local data into the web mapping application,Not available,Is this not related to export-import questions at the top?,
1,,y,,,,,,GIS Business Owner,"Where is the data stored - in the cloud, on a Government server or on a local drive?",Implementation,,Likely not available,No answer to this question,
2,,y,,,,,,GIS Business Owner,"Where will the application be hosted - in the cloud, on a Government server or elsewhere?",Approvals,Is hosted in the 'cloud'; Is hosted in Canada; Is hosted with write access to a web server (Self serve); Is hosted with deployment via a web server (DataBC/IIT managed deployment),Answer is available,"Do these requirements answer the question? Seems we have answered it, but would be good to make sure",
59,,,y,,,,,Spatial Developer,What data formats and sources can you import into the application?,,Consume and integrate local data into the web mapping application; Transfer data collected within the web mapping application to operational systems,,Does this potentially answer the question?,
60,y,y,y,,,,,Spatial Developer,What spatial data formats can you export to another application?,,Select data in the web mapping application for export to another user; Have a variety of export spatial formats to send data to different clients; Update data collected within the web mapping application to operational system. ,,"Seems like the same question as 59, but about data export. Also similar to questions 15, 40",
61,,y,y,,,,y,Spatial Developer,Does it integrate with proprietary tools? What level of integration?,,,,"Not clear which proprietary tools the developer is trying to integrate. (ESRI, Google Maps, Oracle, etc.) We have no answer to this question.",
62,y,,y,,y,y,,Spatial Developer,What is the maturity and activity level of the project as measured in the Open Source environment?  ,,,,Don't think we can answer this question in the format of the matrix. Probably in scope for something else. Agreed,
