Capability,IMF2,SMK,AGO,CWM, Capability Class
mobile support, yes, yes, yes, no, map
offline support, no, no, yes, no, map
editing support, yes, no, yes, yes, data
save session support, yes, no, no, yes, map
overlap reporting, , , , , reporting
geofence reporting, , , , , reporting
print/export map, , , , , map
search for location/geocoding, , , , , map
bookmark location, , , , , map
save session, , , , , map
toggle layers, , , , , map
complex deployment, yes, yes, no, yes , framework
interagency deployment dependencies, yes, yes, no, yes, framework
program cost, yes, yes, no, yes, project
program maintenace cost, yes, yes, yes, yes, project
small project feasable, no, no, yes, no, project
included data storage and service, no, no, yes, no, framework
hosting provided, , , yes, , framework
existing pia/stra, , , , , project
configurable map projections, , , , , map
load user data support, , , , , data
export data support, , , , , data
recent imagery base map, , , , , data
bc government curated basemap, , , , , data
data service connection support, yes, yes, yes, , data
geonetwork routing support, , , , , map
simple map navigation, , , , , map
mulitple-browser support, , yes, yes, yes, framework
publish to external users, yes, yes, no, yes, framework
security control groups, , , , , framework
identify map features, yes, yes, yes, yes, map
create data summaries, yes, , yes, no, reporting
publicly documented, , , , , framework
relative developement cost, $, $, $, $, project
relative maintenance cost, $, $, $, $, project
